,code,company,part. 100k,accum
,VALE3,VALE,"12,460",0.1246
,ITUB4,ITAUUNIBANCO,"6,799",0.19259
,PETR4,PETROBRAS,"5,746",0.25005
,BBDC4,BRADESCO,"5,182",0.30187
,B3SA3,B3,"4,776",0.34963
,PETR3,PETROBRAS,"4,486",0.39449
,MGLU3,MAGAZ LUIZA,"3,193",0.42642
,ABEV3,AMBEV S/A,"3,078",0.4572
,WEGE3,WEG,"2,564",0.48284
,ITSA4,ITAUSA,"2,422",0.50706
,BBAS3,BRASIL,"2,192",0.52898
,NTCO3,GRUPO NATURA,"2,134",0.55032
,GNDI3,INTERMEDICA,"1,993",0.57025
,SUZB3,SUZANO S.A.,"1,987",0.59012
,RENT3,LOCALIZA,"1,950",0.60962
,LREN3,LOJAS RENNER,"1,797",0.62759
,JBSS3,JBS,"1,786",0.64545
,VVAR3,VIAVAREJO,"1,455",0.66
,BBDC3,BRADESCO,"1,362",0.67362
,RADL3,RAIADROGASIL,"1,358",0.6872
,RAIL3,RUMO S.A.,"1,289",0.70009
,BRDT3,PETROBRAS BR,"1,215",0.71224
,GGBR4,GERDAU,"1,119",0.72343
,EQTL3,EQUATORIAL,"1,104",0.73447
,UGPA3,ULTRAPAR,"1,096",0.74543
,BBSE3,BBSEGURIDADE,982,0.75525
,LAME4,LOJAS AMERIC,974,0.76499
,BPAC11,BTGP BANCO,944,0.77443
,VIVT3,TELEF BRASIL,899,0.78342
,BRFS3,BRF SA,877,0.79219
,BTOW3,B2W DIGITAL,787,0.80006
,KLBN11,KLABIN S/A,782,0.80788
,HAPV3,HAPVIDA,768,0.81556
,SBSP3,SABESP,762,0.82318
,CSNA3,SID NACIONAL,761,0.83079
,CCRO3,CCR SA,711,0.8379
,SANB11,SANTANDER BR,709,0.84499
,TOTS3,TOTVS,656,0.85155
,BRAP4,BRADESPAR,655,0.8581
,HYPE3,HYPERA,642,0.86452
,SULA11,SUL AMERICA,612,0.87064
,CMIG4,CEMIG,596,0.8766
,AZUL4,AZUL,595,0.88255
,ELET3,ELETROBRAS,568,0.88823
,ENGI11,ENERGISA,567,0.8939
,TIMS3,TIM,562,0.89952
,EGIE3,ENGIE BRASIL,541,0.90493
,PCAR3,P.ACUCAR-CBD,538,0.91031
,CSAN3,COSAN,525,0.91556
,QUAL3,QUALICORP,477,0.92033
,YDUQ3,YDUQS PART,474,0.92507
,COGN3,COGNA ON,446,0.92953
,BRML3,BR MALLS PAR,426,0.93379
,IRBR3,IRBBRASIL RE,423,0.93802
,FLRY3,FLEURY,404,0.94206
,ELET6,ELETROBRAS,394,0.946
,CYRE3,CYRELA REALT,379,0.94979
,CRFB3,CARREFOUR BR,375,0.95354
,TAEE11,TAESA,356,0.9571
,GOAU4,GERDAU MET,354,0.96064
,USIM5,USIMINAS,349,0.96413
,PRIO3,PETRORIO,345,0.96758
,MULT3,MULTIPLAN,321,0.97079
,BRKM5,BRASKEM,306,0.97385
,EMBR3,EMBRAER,300,0.97685
,MRVE3,MRV,288,0.97973
,CPFE3,CPFL ENERGIA,283,0.98256
,ENBR3,ENERGIAS BR,274,0.9853
,MRFG3,MARFRIG,273,0.98803
,CIEL3,CIELO,206,0.99009
,EZTC3,EZTEC,202,0.99211
,IGTA3,IGUATEMI,157,0.99368
,GOLL4,GOL,156,0.99524
,CVCB3,CVC BRASIL,132,0.99656
,BEEF3,MINERVA,130,0.99786
,HGTX3,CIA HERING,112,0.99898
,ECOR3,ECORODOVIAS,102,1