date,decimal
03/1999;91,36
04/1999;93,76
05/1999;94,91
06/1999;112,22
07/1999;121,14
08/1999;120,56
09/1999;122,0
10/1999;117,91
11/1999;113,43
12/1999;114,92
01/2000;120,73
02/2000;121,31
03/2000;113,53
04/2000;109,61
05/2000;102,87
06/2000;107,86
07/2000;114,50
08/2000;106,11
09/2000;104,73
10/2000;111,45
11/2000;116,86
12/2000;116,47
01/2001;115,88
02/2001;119,74
03/2001;120,51
04/2001;116,11
05/2001;114,97
06/2001;89,18
07/2001;99,52
08/2001;98,10
09/2001;104,44
10/2001;92,65
11/2001;86,86
12/2001;96,22
01/2002;97,93
02/2002;101,54
03/2002;100,37
04/2002;110,41
05/2002;110,25
06/2002;96,27
07/2002;104,91
08/2002;103,16
09/2002;114,9
10/2002;110,95
11/2002;118,33
12/2002;121,89
01/2003;121,88
02/2003;122,22
03/2003;121,87
04/2003;126,89
05/2003;133,87
06/2003;139,77
07/2003;135,77
08/2003;132,59
09/2003;127,3
10/2003;123,31
11/2003;128,2
12/2003;135,15
01/2004;143,15
02/2004;143,4
03/2004;131,54
04/2004;124,76
05/2004;140,14
06/2004;132,55
07/2004;132,17
08/2004;138,39
09/2004;150,52
10/2004;161,62
11/2004;166,68
12/2004;153,99
01/2005;158,95
02/2005;161,39
03/2005;158,37
04/2005;155,46
05/2005;145,90
06/2005;145,56
07/2005;145,63
08/2005;130,62
09/2005;113,35
10/2005;113,7
11/2005;118,26
12/2005;132,73
01/2006;135,33
02/2006;144,65
03/2006;142,79
04/2006;134,82
05/2006;142,62
06/2006;140,98
07/2006;138,32
08/2006;133,69
09/2006;135,58
10/2006;138,10
11/2006;140,97
12/2006;131,63
01/2007;131,98
02/2007;131,86
03/2007;124,87
04/2007;122,74
05/2007;119,71
06/2007;124,0
07/2007;123,40
08/2007;126,21
09/2007;125,63
10/2007;124,23
11/2007;127,0
12/2007;135,97
01/2008;135,26
02/2008;142,47
03/2008;143,70
04/2008;142,86
05/2008;142,19
06/2008;136,17
07/2008;125,28
08/2008;134,76
09/2008;142,81
10/2008;141,4
11/2008;135,27
12/2008;134,18
01/2009;128,85
02/2009;136,62
03/2009;139,77
04/2009;131,77
05/2009;134,45
06/2009;147,63
07/2009;151,99
08/2009;152,80
09/2009;153,44
10/2009;162,94
11/2009;161,95
12/2009;160,69
01/2010;164,28
02/2010;161,87
03/2010;159,88
04/2010;160,8
05/2010;157,96
06/2010;163,76
07/2010;159,27
08/2010;165,25
09/2010;161,62
10/2010;155,23
11/2010;160,16
12/2010;165,22
01/2011;163,71
02/2011;166,17
03/2011;162,43
04/2011;163,1
05/2011;155,60
06/2011;156,42
07/2011;154,47
08/2011;154,64
09/2011;155,29
10/2011;153,85
11/2011;159,55
12/2011;163,28
01/2012;162,60
02/2012;171,70
03/2012;165,79
04/2012;166,17
05/2012;167,62
06/2012;164,11
07/2012;162,4
08/2012;156,75
09/2012;159,1
10/2012;162,68
11/2012;164,56
12/2012;162,94
01/2013;163,54
02/2013;165,78
03/2013;162,84
04/2013;157,35
05/2013;146,53
06/2013;143,42
07/2013;136,94
08/2013;133,1
09/2013;134,92
10/2013;139,15
11/2013;138,74
12/2013;135,51
01/2014;132,78
02/2014;132,24
03/2014;121,39
04/2014;115,80
05/2014;107,94
06/2014;105,1
07/2014;109,76
08/2014;110,83
09/2014;122,30
10/2014;121,64
11/2014;124,39
12/2014;115,79
01/2015;114,1
02/2015;115,5
03/2015;109,26
04/2015;105,82
05/2015;98,71
06/2015;101,54
07/2015;100,4
08/2015;101,56
09/2015;102,66
10/2015;110,57
11/2015;106,38
12/2015;106,65
01/2016;110,34
02/2016;114,36
03/2016;113,19
04/2016;111,54
05/2016;119,85
06/2016;128,50
07/2016;128,59
08/2016;130,29
09/2016;139,13
10/2016;137,23
11/2016;143,76
12/2016;136,13
01/2017;124,95
02/2017;139,96
03/2017;137,77
04/2017;134,14
05/2017;128,18
06/2017;119,56
07/2017;125,62
08/2017;122,93
09/2017;119,38
10/2017;122,69
11/2017;125,1
12/2017;127,20
01/2018;134,94
02/2018;134,89
03/2018;131,35
04/2018;126,44
05/2018;133,29
06/2018;121,36
07/2018;121,50
08/2018;118,61
09/2018;124,40
10/2018;127,36
11/2018;134,83
12/2018;149,7
01/2019;150,22
02/2019;157,48
03/2019;144,25
04/2019;136,66
05/2019;130,83
06/2019;122,89
07/2019;126,65
08/2019;129,85
09/2019;125,36
10/2019;122,87
11/2019;131,66
12/2019;128,36
01/2020;131,60
02/2020;139,3
03/2020;135,8
04/2020;122,82
05/2020;118,82
06/2020;121,90
07/2020;127,97