"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.12.2020","44,64","45,20","45,70","44,13","-","-1,54%"
"30.11.2020","45,34","45,34","45,80","44,42","-","-0,42%"
"27.11.2020","45,53","45,90","46,09","44,55","365,13K","1,22%"
"26.11.2020","44,98","45,77","46,09","44,73","-","-1,60%"
"25.11.2020","45,71","44,82","46,26","44,73","417,18K","1,78%"
"24.11.2020","44,91","42,84","45,20","42,82","418,53K","4,30%"
"23.11.2020","43,06","42,46","43,36","42,29","300,72K","2,16%"
"20.11.2020","42,15","41,70","42,32","41,51","29,78K","0,98%"
"19.11.2020","41,74","41,61","41,98","41,08","88,14K","-0,19%"
"18.11.2020","41,82","41,35","42,46","41,08","107,01K","0,94%"
"17.11.2020","41,43","41,44","41,69","40,57","243,68K","0,22%"
"16.11.2020","41,34","40,17","42,09","40,15","378,79K","3,02%"
"13.11.2020","40,13","40,94","40,94","40,06","338,19K","-2,41%"
"12.11.2020","41,12","41,47","42,19","40,87","401,03K","-0,80%"
"11.11.2020","41,45","41,79","43,06","41,32","443,77K","0,22%"
"10.11.2020","41,36","39,91","41,84","39,41","457,05K","2,66%"
"09.11.2020","40,29","37,34","41,33","37,16","622,92K","8,48%"
"06.11.2020","37,14","38,54","38,61","37,06","411,03K","-4,25%"
"05.11.2020","38,79","39,17","39,35","38,27","298,37K","-0,92%"
"04.11.2020","39,15","38,15","39,25","37,26","437,00K","3,96%"
"03.11.2020","37,66","37,03","38,32","36,57","410,61K","2,31%"
"02.11.2020","36,81","35,24","37,15","33,64","489,20K","2,85%"
"30.10.2020","35,79","36,07","36,60","35,21","388,97K","-1,05%"
"29.10.2020","36,17","37,39","37,76","34,92","568,82K","-3,26%"
"28.10.2020","37,39","38,97","39,01","36,97","489,95K","-5,51%"
"27.10.2020","39,57","38,59","39,83","38,51","339,54K","2,62%"
"26.10.2020","38,56","39,69","39,74","38,28","360,18K","-3,24%"
"23.10.2020","39,85","40,61","40,92","39,57","268,93K","-1,94%"
"22.10.2020","40,64","40,04","41,02","39,71","307,49K","1,52%"
"21.10.2020","40,03","41,22","41,59","39,78","366,90K","-3,45%"
"20.10.2020","41,46","40,65","41,70","40,25","24,52K","1,54%"
"19.10.2020","40,83","40,69","41,22","40,54","75,34K","-0,12%"
"16.10.2020","40,88","40,88","41,05","40,08","96,49K","-0,20%"
"15.10.2020","40,96","41,13","41,29","39,22","248,25K","-0,19%"
"14.10.2020","41,04","40,19","41,16","39,82","328,30K","2,09%"
"13.10.2020","40,20","39,53","40,53","39,35","375,47K","1,95%"
"12.10.2020","39,43","40,40","40,45","39,04","322,04K","-2,88%"
"09.10.2020","40,60","41,31","41,47","40,38","331,70K","-1,43%"
"08.10.2020","41,19","39,99","41,33","39,76","409,79K","3,10%"
"07.10.2020","39,95","39,83","40,35","39,28","433,07K","-1,77%"
"06.10.2020","40,67","39,35","40,86","39,10","400,53K","3,70%"
"05.10.2020","39,22","37,00","39,72","37,00","378,58K","5,86%"
"02.10.2020","37,05","38,60","38,65","36,63","391,43K","-4,31%"
"01.10.2020","38,72","39,90","40,47","37,61","443,44K","-3,73%"
"30.09.2020","40,22","39,16","40,37","38,68","340,29K","2,37%"
"29.09.2020","39,29","40,58","40,70","38,41","379,60K","-3,23%"
"28.09.2020","40,60","40,07","40,80","39,78","226,43K","0,87%"
"25.09.2020","40,25","40,15","40,64","39,71","229,03K","-0,15%"
"24.09.2020","40,31","39,60","40,37","39,12","269,99K","0,95%"
"23.09.2020","39,93","39,76","40,75","39,26","318,75K","0,83%"
"22.09.2020","39,60","39,63","40,02","39,00","23,22K","0,74%"
"21.09.2020","39,31","40,98","41,27","38,66","66,20K","-4,38%"
"18.09.2020","41,11","40,97","41,49","40,30","73,76K","0,34%"
"17.09.2020","40,97","40,19","41,22","39,42","280,67K","2,02%"
"16.09.2020","40,16","38,35","40,34","38,35","367,61K","4,91%"
"15.09.2020","38,28","37,28","38,57","37,06","348,86K","2,74%"
"14.09.2020","37,26","37,32","37,68","36,82","347,56K","-0,19%"
"11.09.2020","37,33","37,01","37,82","36,67","363,79K","0,08%"
"10.09.2020","37,30","37,80","38,18","36,93","367,56K","-1,97%"
"09.09.2020","38,05","36,79","38,45","36,16","455,36K","3,51%"
"08.09.2020","36,76","39,48","39,59","36,13","720,98K","-6,22%"
"07.09.2020","39,20","38,77","39,53","38,77","-","1,16%"
"06.09.2020","38,75","39,47","39,48","38,57","-","-2,56%"
"04.09.2020","39,77","41,25","41,87","39,35","444,18K","-3,87%"
"03.09.2020","41,37","41,63","41,79","40,22","417,63K","-0,34%"
"02.09.2020","41,51","43,02","43,21","41,23","421,77K","-2,92%"
"01.09.2020","42,76","42,83","43,43","42,72","285,15K","0,35%"
"31.08.2020","42,61","42,91","43,57","42,56","236,88K","-0,84%"
"28.08.2020","42,97","42,98","43,42","42,69","272,80K","-0,16%"
"27.08.2020","43,04","43,45","43,50","42,36","320,97K","-0,81%"
"26.08.2020","43,39","43,39","43,78","43,00","262,24K","0,09%"
"25.08.2020","43,35","42,36","43,57","42,31","330,80K","1,71%"
"24.08.2020","42,62","42,48","42,89","42,23","294,73K","0,66%"
"21.08.2020","42,34","42,75","42,96","41,46","345,37K","-0,56%"
"20.08.2020","42,58","42,74","42,79","41,50","27,43K","-0,82%"
"19.08.2020","42,93","42,60","43,03","42,36","81,30K","0,09%"
"18.08.2020","42,89","42,79","42,99","42,11","111,63K","0,00%"
"17.08.2020","42,89","42,24","42,97","41,80","208,43K","2,09%"
"14.08.2020","42,01","42,33","42,57","41,62","310,87K","-0,54%"
"13.08.2020","42,24","42,57","42,84","42,09","329,51K","-1,01%"
"12.08.2020","42,67","41,62","42,90","41,53","397,83K","2,55%"
"11.08.2020","41,61","41,98","42,94","41,48","432,84K","-0,79%"
"10.08.2020","41,94","41,50","42,33","41,17","367,80K","1,75%"
"07.08.2020","41,22","41,97","42,22","41,06","399,00K","-1,74%"
"06.08.2020","41,95","42,19","42,65","41,61","359,61K","-0,57%"
"05.08.2020","42,19","41,56","43,52","41,47","491,27K","1,18%"
"04.08.2020","41,70","40,78","42,08","40,14","451,58K","1,68%"
"03.08.2020","41,01","40,39","41,24","39,58","338,33K","1,84%"
"31.07.2020","40,27","40,34","40,55","39,66","318,79K","0,88%"
"30.07.2020","39,92","41,32","41,39","38,72","487,33K","-3,27%"